Kromosom Referensi	Panjang Ref (bp)	Total Cov Semua Contig (%)	Pasangan Utama (Best Contig)	Panjang Best Contig (bp)	Cov Best Contig ke Ref (%)
JAWXYG010000001.1	72946305	22.3%	contig_12	15159496	19.9%
JAWXYG010000002.1	72708166	36.4%	contig_2	23415351	33.8%
JAWXYG010000003.1	59304591	17.9%	contig_20	9622396	15.9%
JAWXYG010000004.1	58807485	29.4%	contig_11	15268602	27.0%
JAWXYG010000005.1	56153597	44.1%	contig_1	23832247	41.1%
JAWXYG010000006.1	56036073	43.8%	contig_8	16755547	24.9%
JAWXYG010000007.1	53377604	34.5%	contig_6	19218950	33.0%
JAWXYG010000008.1	49526390	58.8%	contig_4	19878714	33.8%
JAWXYG010000009.1	47156288	28.8%	contig_23	9313686	19.2%
JAWXYG010000010.1	44851887	33.9%	contig_10	16361437	32.5%
JAWXYG010000011.1	40967644	56.7%	contig_3	21190628	52.7%
JAWXYG010000012.1	39717509	26.2%	contig_34	7806812	18.6%
JAWXYG010000013.1	34726900	34.0%	contig_19	9948677	30.7%
JAWXYG010000014.1	27252417	45.2%	contig_32	7814513	24.5%
JAWXYG010000015.1	14233022	77.9%	contig_31	7904292	59.1%
JAWXYG010000016.1	4358728	89.0%	contig_16	11751442	89.0%
JAWXYG010000017.1	3025802	99.6%	contig_46	5912963	99.6%
JAWXYG010000018.1	3019474	99.1%	contig_71	3378467	99.1%
JAWXYG010000019.1	2998174	75.8%	contig_42	6685000	75.8%
JAWXYG010000020.1	2638440	78.3%	contig_30	8051501	76.4%
JAWXYG010000021.1	2105871	44.2%	contig_96	2067733	43.7%
JAWXYG010000022.1	2012432	100.0%	contig_37	7143154	100.0%
JAWXYG010000023.1	1684669	99.8%	contig_4	19878714	99.8%
JAWXYG010000024.1	1125987	9.8%	contig_16	11751442	8.9%
