gene_id	transcript_id	swissprot_sseqid	swissprot_evalue	swissprot_bitscore	swissprot_title	uniref90_sseqid	uniref90_evalue	uniref90_bitscore	uniref90_title	pfam_ids	interpro_ids	GO_terms	signature_descriptions	interpro_descriptions
g1	g1.t1	-	-	-	-	UniRef90_A0AAE1MFJ9	0	0	1	-	-	-	-	-
g2	g2.t1	sp|P46667|ATHB5_ARATH	13	0	18	UniRef90_A0AAE1MFJ9	1	0	1	PF00046;PF02183	IPR001356;IPR003106;IPR009057;IPR017970	GO:0000981(InterPro);GO:0003677(InterPro);GO:0006355(InterPro);GO:0043565(InterPro)	'Homeobox' domain profile.;'Homeobox' domain signature.;HOX_1;Homeobox associated leucine zipper;Homeodomain;Homeodomain-like	Homedomain-like superfamily;Homeobox, conserved site;Homeodomain;Leucine zipper, homeobox-associated
g3	g3.t1	-	-	-	-	UniRef90_A0AAE1JUC5	22	3	30	-	-	-	-	-
g4	g4.t1	-	-	-	-	UniRef90_UPI002AB0EBE5	53	0	237	PF03732	IPR005162	-	Retrotransposon gag protein	Retrotransposon gag domain
g5	g5.t1	-	-	-	-	UniRef90_A0AAE1MDJ9	1	0	1	PF06695	IPR009577	-	Putative small multi-drug export protein	Putative small multi-drug export
g6	g6.t1	sp|P10978|POLX_TOBAC	63	0	2	UniRef90_UPI0025E1368A	37	0	1	PF00665	IPR001584;IPR012337	GO:0015074(InterPro)	Integrase catalytic domain profile.;Integrase core domain;Ribonuclease H-like	Integrase, catalytic core;Ribonuclease H-like superfamily
g7	g7.t1	sp|Q9SLE0|GNTK_ARATH	78	1	9	UniRef90_A0AAE1K3X1	1	0	10	PF13671	IPR027417	-	AAA domain;P-loop containing nucleoside triphosphate hydrolases	P-loop containing nucleoside triphosphate hydrolase
g8	g8.t1	-	-	-	-	UniRef90_A0AAE1N2C3	15	0	30	-	-	-	-	-
g9	g9.t1	sp|Q8RX77|PTR21_ARATH	252	8	16	UniRef90_A0AAE1K1R8	1	0	1	PF00854	IPR000109;IPR036259	GO:0016020(InterPro);GO:0022857(InterPro);GO:0055085(InterPro)	MFS general substrate transporter;POT family	MFS transporter superfamily;Proton-dependent oligopeptide transporter family
g10	g10.t1	sp|Q38879|TRXH2_ARATH	51	0	32	UniRef90_A0AAE1J5N3	1	0	1	PF00085	IPR013766;IPR017937;IPR036249	-	Thioredoxin;Thioredoxin domain profile.;Thioredoxin family active site.;Thioredoxin-like	Thioredoxin domain;Thioredoxin, conserved site;Thioredoxin-like superfamily
g7272	g7272.t1	sp|A8CEI3|MIMOS_LEULE	163	3	1	UniRef90_A0AAE1M5G2	16	0	1	PF01053	IPR000277;IPR015424	GO:0019346(InterPro);GO:0030170(InterPro)	Cys/Met metabolism PLP-dependent enzyme;PLP-dependent transferases	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme;Pyridoxal phosphate-dependent transferase
g16589	g16589.t1	sp|O81832|Y4729_ARATH	351	11	19	UniRef90_A0AAE1ITG8	3	0	1	PF00954;PF01453;PF07714;PF08276;PF11883	IPR000719;IPR000742;IPR000858;IPR001245;IPR001480;IPR003609;IPR008271;IPR011009;IPR021820;IPR036426	GO:0004672(InterPro);GO:0004674(InterPro);GO:0005524(InterPro);GO:0006468(InterPro);GO:0048544(InterPro)	Bulb-type lectin domain profile.;D-mannose binding lectin;Domain of unknown function (DUF3403);EGF-like domain profile.;PAN-like domain;PAN/Apple domain profile.;Protein kinase domain profile.;Protein kinase-like (PK-like);Protein tyrosine and serine/threonine kinase;S-locus glycoprotein domain;Serine/Threonine protein kinases active-site signature.;alpha-D-mannose-specific plant lectins;blect_4;ntp_6;serkin_6	Bulb-type lectin domain;Bulb-type lectin domain superfamily;EGF-like domain;PAN/Apple domain;Protein kinase domain;Protein kinase-like domain superfamily;S-locus glycoprotein domain;S-locus receptor kinase, C-terminal;Serine-threonine/tyrosine-protein kinase, catalytic domain;Serine/threonine-protein kinase, active site
g16590	g16590.t1	sp|O81832|Y4729_ARATH	347	10	19	UniRef90_A0AAE1ITG8	98	3	1	PF00954;PF01453;PF07714;PF08276	IPR000719;IPR000742;IPR000858;IPR001245;IPR001480;IPR003609;IPR008271;IPR011009;IPR036426	GO:0004672(InterPro);GO:0005524(InterPro);GO:0006468(InterPro);GO:0048544(InterPro)	Bulb-type lectin domain profile.;D-mannose binding lectin;EGF-like domain profile.;PAN-like domain;PAN/Apple domain profile.;Protein kinase domain profile.;Protein kinase-like (PK-like);Protein tyrosine and serine/threonine kinase;S-locus glycoprotein domain;Serine/Threonine protein kinases active-site signature.;alpha-D-mannose-specific plant lectins;blect_4;ntp_6;serkin_6	Bulb-type lectin domain;Bulb-type lectin domain superfamily;EGF-like domain;PAN/Apple domain;Protein kinase domain;Protein kinase-like domain superfamily;S-locus glycoprotein domain;Serine-threonine/tyrosine-protein kinase, catalytic domain;Serine/threonine-protein kinase, active site
g16591	g16591.t1	sp|O81832|Y4729_ARATH	329	8	23	UniRef90_UPI0010A2C05F	177	4	1	PF00954;PF01453;PF07714;PF08276;PF11883	IPR000719;IPR000742;IPR000858;IPR001245;IPR001480;IPR003609;IPR008271;IPR011009;IPR017441;IPR021820;IPR036426	GO:0004672(InterPro);GO:0004674(InterPro);GO:0005524(InterPro);GO:0006468(InterPro);GO:0048544(InterPro)	Bulb-type lectin domain profile.;D-mannose binding lectin;Domain of unknown function (DUF3403);EGF-like domain profile.;PAN-like domain;PAN/Apple domain profile.;Protein kinase domain profile.;Protein kinase-like (PK-like);Protein kinases ATP-binding region signature.;Protein tyrosine and serine/threonine kinase;S-locus glycoprotein domain;Serine/Threonine protein kinases active-site signature.;alpha-D-mannose-specific plant lectins;blect_4;ntp_6;serkin_6	Bulb-type lectin domain;Bulb-type lectin domain superfamily;EGF-like domain;PAN/Apple domain;Protein kinase domain;Protein kinase, ATP binding site;Protein kinase-like domain superfamily;S-locus glycoprotein domain;S-locus receptor kinase, C-terminal;Serine-threonine/tyrosine-protein kinase, catalytic domain;Serine/threonine-protein kinase, active site
g16592	g16592.t1	sp|O81832|Y4729_ARATH	359	9	15	UniRef90_A0AAE1MDB4	0	0	15	PF00954;PF01453;PF07714;PF08276;PF11883	IPR000719;IPR000858;IPR001245;IPR001480;IPR003609;IPR008271;IPR011009;IPR021820;IPR036426	GO:0004672(InterPro);GO:0004674(InterPro);GO:0005524(InterPro);GO:0006468(InterPro);GO:0048544(InterPro)	Bulb-type lectin domain profile.;D-mannose binding lectin;Domain of unknown function (DUF3403);PAN-like domain;PAN/Apple domain profile.;Protein kinase domain profile.;Protein kinase-like (PK-like);Protein tyrosine and serine/threonine kinase;S-locus glycoprotein domain;Serine/Threonine protein kinases active-site signature.;alpha-D-mannose-specific plant lectins;blect_4;ntp_6;serkin_6	Bulb-type lectin domain;Bulb-type lectin domain superfamily;PAN/Apple domain;Protein kinase domain;Protein kinase-like domain superfamily;S-locus glycoprotein domain;S-locus receptor kinase, C-terminal;Serine-threonine/tyrosine-protein kinase, catalytic domain;Serine/threonine-protein kinase, active site
g16593	g16593.t1	sp|O81832|Y4729_ARATH	372	12	6	UniRef90_A0AAE1M8E4	5	1	1	PF00954;PF01453;PF07714;PF08276;PF11883	IPR000719;IPR000742;IPR000858;IPR001245;IPR001480;IPR003609;IPR008271;IPR011009;IPR017441;IPR021820;IPR036426	GO:0004672(InterPro);GO:0004674(InterPro);GO:0005524(InterPro);GO:0006468(InterPro);GO:0048544(InterPro)	Bulb-type lectin domain profile.;D-mannose binding lectin;Domain of unknown function (DUF3403);EGF-like domain profile.;PAN-like domain;PAN/Apple domain profile.;Protein kinase domain profile.;Protein kinase-like (PK-like);Protein kinases ATP-binding region signature.;Protein tyrosine and serine/threonine kinase;S-locus glycoprotein domain;Serine/Threonine protein kinases active-site signature.;alpha-D-mannose-specific plant lectins;blect_4;ntp_6;serkin_6	Bulb-type lectin domain;Bulb-type lectin domain superfamily;EGF-like domain;PAN/Apple domain;Protein kinase domain;Protein kinase, ATP binding site;Protein kinase-like domain superfamily;S-locus glycoprotein domain;S-locus receptor kinase, C-terminal;Serine-threonine/tyrosine-protein kinase, catalytic domain;Serine/threonine-protein kinase, active site
g16593	g16593.t2	sp|O81832|Y4729_ARATH	374	11	6	UniRef90_A0AAE1M8E4	1	0	1	PF00954;PF01453;PF07714;PF08276;PF11883	IPR000719;IPR000742;IPR000858;IPR001245;IPR001480;IPR003609;IPR008271;IPR011009;IPR017441;IPR021820;IPR036426	GO:0004672(InterPro);GO:0004674(InterPro);GO:0005524(InterPro);GO:0006468(InterPro);GO:0048544(InterPro)	Bulb-type lectin domain profile.;D-mannose binding lectin;Domain of unknown function (DUF3403);EGF-like domain profile.;PAN-like domain;PAN/Apple domain profile.;Protein kinase domain profile.;Protein kinase-like (PK-like);Protein kinases ATP-binding region signature.;Protein tyrosine and serine/threonine kinase;S-locus glycoprotein domain;Serine/Threonine protein kinases active-site signature.;alpha-D-mannose-specific plant lectins;blect_4;ntp_6;serkin_6	Bulb-type lectin domain;Bulb-type lectin domain superfamily;EGF-like domain;PAN/Apple domain;Protein kinase domain;Protein kinase, ATP binding site;Protein kinase-like domain superfamily;S-locus glycoprotein domain;S-locus receptor kinase, C-terminal;Serine-threonine/tyrosine-protein kinase, catalytic domain;Serine/threonine-protein kinase, active site
g16594	g16594.t1	sp|O81832|Y4729_ARATH	354	11	23	UniRef90_A0AAE1M8E4	134	2	19	PF00954;PF01453;PF07714;PF08276	IPR000719;IPR000742;IPR000858;IPR001245;IPR001480;IPR003609;IPR008271;IPR011009;IPR017441;IPR036426	GO:0004672(InterPro);GO:0005524(InterPro);GO:0006468(InterPro);GO:0048544(InterPro)	Bulb-type lectin domain profile.;D-mannose binding lectin;EGF-like domain profile.;PAN-like domain;PAN/Apple domain profile.;Protein kinase domain profile.;Protein kinase-like (PK-like);Protein kinases ATP-binding region signature.;Protein tyrosine and serine/threonine kinase;S-locus glycoprotein domain;Serine/Threonine protein kinases active-site signature.;alpha-D-mannose-specific plant lectins;blect_4;ntp_6;serkin_6	Bulb-type lectin domain;Bulb-type lectin domain superfamily;EGF-like domain;PAN/Apple domain;Protein kinase domain;Protein kinase, ATP binding site;Protein kinase-like domain superfamily;S-locus glycoprotein domain;Serine-threonine/tyrosine-protein kinase, catalytic domain;Serine/threonine-protein kinase, active site
g16595	g16595.t1	sp|O64783|Y1137_ARATH	51	1	13	UniRef90_A0AAE1MJP4	13	0	1	PF01453	IPR001480;IPR036426	-	Bulb-type lectin domain profile.;D-mannose binding lectin;alpha-D-mannose-specific plant lectins;blect_4	Bulb-type lectin domain;Bulb-type lectin domain superfamily
g16596	g16596.t1	sp|O81832|Y4729_ARATH	326	7	23	UniRef90_UPI0010A47AF0	126	1	1	PF00954;PF01453;PF07714;PF08276	IPR000719;IPR000742;IPR000858;IPR001245;IPR001480;IPR003609;IPR008271;IPR011009;IPR036426	GO:0004672(InterPro);GO:0005524(InterPro);GO:0006468(InterPro);GO:0048544(InterPro)	Bulb-type lectin domain profile.;D-mannose binding lectin;EGF-like domain profile.;PAN-like domain;PAN/Apple domain profile.;Protein kinase domain profile.;Protein kinase-like (PK-like);Protein tyrosine and serine/threonine kinase;S-locus glycoprotein domain;Serine/Threonine protein kinases active-site signature.;alpha-D-mannose-specific plant lectins;blect_4;ntp_6;serkin_6	Bulb-type lectin domain;Bulb-type lectin domain superfamily;EGF-like domain;PAN/Apple domain;Protein kinase domain;Protein kinase-like domain superfamily;S-locus glycoprotein domain;Serine-threonine/tyrosine-protein kinase, catalytic domain;Serine/threonine-protein kinase, active site
g16597	g16597.t1	-	-	-	-	UniRef90_A0AAE1JQ96	5	0	1	PF11883	IPR021820	GO:0004674(InterPro)	Domain of unknown function (DUF3403)	S-locus receptor kinase, C-terminal
